Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0099,24,SAT,Two-Sided Jeroslow-Wang,7,1,8.740699529647827
sudoku-0099,24,SAT,Dynamic largest individual sum,83,54,10.090100526809692
sudoku-0100,24,SAT,Random,19,5,9.661535501480103
sudoku-0100,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.332679510116577
sudoku-0100,24,SAT,Dynamic largest individual sum,284,251,19.819067001342773
sudoku-0101,24,SAT,Random,25,3,10.016518592834473
sudoku-0101,24,SAT,Two-Sided Jeroslow-Wang,7,0,9.439694881439209
sudoku-0101,24,SAT,Dynamic largest individual sum,141,103,14.10645866394043
sudoku-0102,24,SAT,Random,31,4,12.786449670791626
sudoku-0102,24,SAT,Two-Sided Jeroslow-Wang,6,1,9.267948865890503
sudoku-0102,24,SAT,Dynamic largest individual sum,14071,14033,711.8150515556335
sudoku-0103,24,SAT,Random,19,12,9.811562299728394
sudoku-0103,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.445491552352905
sudoku-0103,24,SAT,Dynamic largest individual sum,145,122,13.041617631912231
sudoku-0104,24,SAT,Random,5,0,8.723626613616943
sudoku-0104,24,SAT,Two-Sided Jeroslow-Wang,5,0,8.685163974761963
sudoku-0104,24,SAT,Dynamic largest individual sum,111,70,11.424081563949585
sudoku-0105,24,SAT,Random,18,2,9.14562463760376
sudoku-0105,24,SAT,Two-Sided Jeroslow-Wang,6,1,8.866542100906372
sudoku-0105,24,SAT,Dynamic largest individual sum,78,43,10.467576265335083
sudoku-0106,24,SAT,Random,23,2,9.595698833465576
sudoku-0106,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.577584743499756
sudoku-0106,24,SAT,Dynamic largest individual sum,51,0,10.576112985610962
sudoku-0107,24,SAT,Random,15,0,9.362419843673706
sudoku-0107,24,SAT,Two-Sided Jeroslow-Wang,5,0,9.118947982788086
sudoku-0107,24,SAT,Dynamic largest individual sum,516,458,31.583420515060425
sudoku-0108,24,SAT,Random,90,76,22.418253660202026
sudoku-0108,24,SAT,Two-Sided Jeroslow-Wang,12,5,11.516208410263062
sudoku-0108,24,SAT,Dynamic largest individual sum,3830,3780,197.88683819770813
sudoku-0109,24,SAT,Random,20,0,10.32082200050354
sudoku-0109,24,SAT,Two-Sided Jeroslow-Wang,13,1,10.187225341796875
sudoku-0109,24,SAT,Dynamic largest individual sum,599,533,33.01616168022156
sudoku-0110,24,SAT,Random,13,0,9.806699275970459
sudoku-0110,24,SAT,Two-Sided Jeroslow-Wang,13,0,9.870521783828735
sudoku-0110,24,SAT,Dynamic largest individual sum,387,308,27.886133909225464
sudoku-0111,24,SAT,Random,12,0,8.820894479751587
sudoku-0111,24,SAT,Two-Sided Jeroslow-Wang,4,0,8.586071729660034
sudoku-0111,24,SAT,Dynamic largest individual sum,68,29,9.987919330596924
sudoku-0112,24,SAT,Random,20,0,10.608432531356812
sudoku-0112,24,SAT,Two-Sided Jeroslow-Wang,8,0,9.279775619506836
sudoku-0112,24,SAT,Dynamic largest individual sum,1310,1262,65.15869569778442
sudoku-0113,24,SAT,Random,16,0,9.81220030784607
sudoku-0113,24,SAT,Two-Sided Jeroslow-Wang,10,1,9.543270826339722
sudoku-0113,24,SAT,Dynamic largest individual sum,108,61,12.891677379608154
sudoku-0114,24,SAT,Random,14,0,9.190399408340454
sudoku-0114,24,SAT,Two-Sided Jeroslow-Wang,7,1,8.862285375595093
sudoku-0114,24,SAT,Dynamic largest individual sum,228,203,16.237390518188477
sudoku-0115,24,SAT,Random,14,0,9.762292385101318
sudoku-0115,24,SAT,Two-Sided Jeroslow-Wang,15,2,10.192728996276855
sudoku-0115,24,SAT,Dynamic largest individual sum,293,240,21.529621601104736
sudoku-0116,24,SAT,Random,10,1,9.260570526123047
sudoku-0116,24,SAT,Two-Sided Jeroslow-Wang,4,0,9.074459791183472
sudoku-0116,24,SAT,Dynamic largest individual sum,54,19,10.000131607055664
sudoku-0117,24,SAT,Random,14,0,9.661835432052612
sudoku-0117,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.133730173110962
sudoku-0117,24,SAT,Dynamic largest individual sum,1020,981,39.70356822013855
sudoku-0118,24,SAT,Random,8,0,8.756255149841309
sudoku-0118,24,SAT,Two-Sided Jeroslow-Wang,6,0,8.796760559082031
sudoku-0118,24,SAT,Dynamic largest individual sum,104,61,12.427622556686401
sudoku-0119,24,SAT,Random,24,1,11.418603897094727
sudoku-0119,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.839998722076416
sudoku-0119,24,SAT,Dynamic largest individual sum,266,198,21.27424168586731
sudoku-0120,24,SAT,Random,18,0,11.389697313308716
sudoku-0120,24,SAT,Two-Sided Jeroslow-Wang,8,0,11.931729793548584
sudoku-0120,24,SAT,Dynamic largest individual sum,870,804,55.77651262283325
sudoku-0121,24,SAT,Random,11,0,9.302226543426514
sudoku-0121,24,SAT,Two-Sided Jeroslow-Wang,4,1,9.434191226959229
sudoku-0121,24,SAT,Dynamic largest individual sum,9420,9388,430.5756356716156
sudoku-0122,24,SAT,Random,7,0,9.39811086654663
sudoku-0122,24,SAT,Two-Sided Jeroslow-Wang,21,13,12.762556791305542
sudoku-0122,24,SAT,Dynamic largest individual sum,1044,992,66.64053511619568
sudoku-0123,24,SAT,Random,6,0,8.735576391220093
sudoku-0123,24,SAT,Two-Sided Jeroslow-Wang,10,0,8.806769132614136
